pro,label,tokenized
"a giant statue of responsibility, standing in a city harbor","adj, environment, subject",
"a symmetrical portrait of a beautiful faye wong, an hybrid alien, battleship regents, humanoid, cyborg, heavy armor, cybernetics, robotics, energy weapons, advanced scanners, prometheus, alien, sci-fi, 4k, octane render, detailed, hyper-realistic, cinematic, moody, photography by joel meyerowitz, roger deakins, slim aarons, craig mullens, artstation, --ar 5:7","adj, collective, composition, element, mood, style, subject",
"photo of putin waving a gay pride flag, cinestill, 800t, 35mm, full-hd","adj, element, style, subject",
sausage monster,"adj, subject",
"a dark humanoid creature holding a blade, anime art, a vast, dark cave ","adj, color, environment, lightening, style, subject",
"dripping mucus, turtle, african tribal pattern, fungi, crawling vessels, fish, jellyfish, alien snake, reptillian eyeballs, pupils, thorn, hybrid creature, crab legs, sharp teeth, 4k, octane render, houdini particles, high detailed, hyper-realistic, on mars, cinematic, epic, moody, photography by sarah morris, hellen van meene, izumi kato, craig mullens, artstation, nasa, lens dirt, --ar 16:9","adj, element, environment, lightening, mood, style, subject",
"[ joe biden ] is agent smith, wearing a black suit and black tie, movie poster, the matrix movie, film still ","adj, color, style, subject",
"hyperrealistic steampunk cybersorceress concept art character design, atmospheric lighting","lightening, style, subject",
prismatic glowing cavern made of gems and crystals,"adj, subject",
"zenyatta from overwatch, character portrait, portrait, close up, concept art, intricate details, highly detailed, horror poster, horror, vintage horror art, realistic, terrifying, in the style of michael whelan, beksinski, and gustave dore ","composition, element, repeating, style, subject",
"3d watermelon,  by thomas kindkade, alphonse mucha, loish, beatriceblue and craig mullins, sparth, ross tran, rossdraws, artgerm, trending on artstation, --ar 3:3","element, style, subject",
"giant sculpture of the letter a in helvetic¡¯s font, outdoors wrapped in chicken wire surrounded by fog","adj, environment, subject",
"photorealistic painting: giant figure working on complex sphere in fabric by oskar schlemmer, oil on canvas, edward hopper vibe, melancholic setting with sideway point of view, realistic human with sad expression, pastel colors","color, composition, mood, style, subject",
"giant evil viktor orban standing above the people lying around his feet and smiling diabolicly, cinematic, apocalyptic, dark","adj, lightening, style, subject",
"film still of lord nibbler in the new scifi movie, 4 k ","element, style, subject",
"snoop dogg holding a snake for a 1990s sitcom tv show, studio photograph, portrait, c 12.0","adj, element, style, subject",
"deep sea diver, intricate oil painting by carl spitzweg ","element, style, subject",
an abstract organism machine by nadav kander ,"adj, style, subject",
<painting quality=very-low>a waterfall</painting>,"element, subject",
"gnomish mafia, wearing tuxedos, looking badass, 4k digital illustration by artgerm, wlop, james jean, andrei riabovitchev, marc simonetti, yoshitaka amano, artstation, cgsociety","adj, element, style, subject",
"mila jovovich , highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, artstation, art by artgerm and greg rutkowski and alphonse mucha and j. c. leyendecker and edmund blair leighton and katsuhiro otomo and geof darrow and phil hale and ashley wood and ilya repin and charlie bowater","composition, element, style, subject",
dramatic matte painting of favela at night --wallpaper,"adj, environment, style",
"a beautiful scene in early spring showing lively sprigs, detailed digital art by ivan shishkin and hoard arkley","adj, element, repeating, style",
"an avant-garde experimental oil painting of a door that leads to an intergalactic room of mystery and despair, liminal space, film grain, esoteric, strange and loneliness","adj, mood, style, subject",
"buff math teacher wearing glasses and a green polo shirt has a goatee and fights with a chromebook, anime, epic, detailed ","adj, collective, style, subject",
