index,prompt,Subject,Style,Mood,Lighting,Environment,Color,Element Value,Composition,Repeating term,Negative prompt,Collective Noun
107,seated ghost wraith journalist mall.  mathias kollros tano bonfanti seb mckinnon manuel castanon tony sark simon stalenhag raymond swanland beeple ismail inceoglu illustration marker facial portrait detailed intricate unreal engine render,1,1,0,0,1,0,1,1,0,0,0
108,a profile picture of the average coachella attendee,1,1,0,0,0,0,0,0,0,0,0
109,"dancing cybergirls under water, neon, digital art by liam wang, cgsociety, ps5, uhd 8k cryengine",1,1,0,0,1,0,0,0,0,0,0
110,"astronaughts in a scifi control room, reflecting in the azure pools of chernobyl by michael whelan and moebius",1,1,0,0,1,1,0,0,0,0,0
111,"portrait of a native american man. oil painting by greg rutkowski, nuri iyem, james gurney. photorealistic, soft colors",1,1,0,0,0,1,0,0,0,0,0
112,sword concept art prop alexis bierschbach max frorer,1,1,0,0,0,0,0,0,0,0,0
113,"a portrait headshot of a spiritual munk, face of piety mask, retro cyberpunk clothing, jupiter sunset by dan mumford, ukiyo-e, matte illustration, graphic novel",1,1,0,0,0,0,0,1,0,0,0
114,"stunning portrait of a woman in the ocean, cosmic nebula, illustration, digital art, contest winner",1,1,1,0,1,0,0,0,0,0,0
115,dog lord hypermech eldritch warrior. character concept art trending on artstation by craig mullins,1,1,0,0,0,0,0,0,0,0,0
116,a pizza symbiote. comic book art.,1,1,0,0,0,0,0,0,0,0,0
117,clockwork maze gold course,1,0,0,0,0,0,0,0,0,0,0
118,"portrait of socrates, pixel art",1,1,0,0,0,0,0,0,0,0,0
119,the president of the world,1,0,0,0,0,0,0,0,0,0,0
120,"the heavy burden of a violent emotional storm, tormented dissolving woman, dark storm clouds, detailed oil painting, vibrant dark fantasy, by beksinski, stephen gammell, anton fadeev,  zawadzki, leonara carrington, ilya kuvshinov",1,1,1,0,1,0,1,0,0,0,0
121,illustration of a victorian fantasy library with magical mist,1,1,1,0,1,0,0,0,0,0,0
122,"a beautiful woman reclines on a chaise lounge, gazing languidly at the viewer. she is surrounded by a sumptuous feast, and her opulent dress hints at her wealth and status.",1,0,1,0,1,0,0,1,0,0,0
123,nerd emoji. artstation,1,1,0,0,0,0,0,0,0,0,0
124,a blue (pantone) sports car,1,0,0,0,0,1,0,0,0,0,0
125,"goddess of the dark, beautiful, ethereal, light background, detailed, arnold rendering, octane, 3d shading, artstation, cgsociety, rendered by unreal engine",1,1,0,1,0,0,1,0,0,0,0
126,"a clown walking down the hallway of a spaceship, retrofuturism, vintage, uhd 8k cryengine",1,1,0,0,1,0,1,0,0,0,0
127,"portrait of the unseelie prince of playfulness, male unseelie faerie, dark fairie man, 4k digital character design, artstation, cgsociety, twitter",1,1,0,0,0,0,1,0,0,0,0
128,"night market in shibuya vaporwave cyberpunk city of dreams, 4k digital illustration by moebius, hiroshi yoshida, ross tran, noah bradley, artstation, cgsociety",1,1,0,0,1,0,1,0,0,0,0
129,ssao diffuse render of chibi mona lisa,1,1,0,0,0,0,0,0,0,0,0
130,pbs kids tv show about the frustrated divine god of bloatmaxx androgenic steroids,1,1,1,0,0,0,0,0,0,0,0
131,"is that a really tiny little drum set or a really gigantic drummer? i can't tell, it's an optical illusion.",1,1,0,0,0,0,1,0,0,0,0
132,a gijinka vampire bat warrior by eddie mendoza featured on artstation,1,1,0,0,0,0,0,0,0,0,0
133,"autumn love, by william-adolphe bouguereau, oil on canvas",0,1,0,0,0,0,0,0,0,0,0
134,"abandoned dystopian television tower , digital art by greg rutkowski and thomas kinkade, trending on artstation, cgsociety, contrast color scheme",1,1,1,0,0,1,0,0,0,0,0
135,professional macro photography of a gemstone specimen,1,1,0,0,0,0,0,0,0,0,1
136,"krita illustration of sunflower with an eye, mythical sunflower, fantasy flower",1,1,0,0,0,0,0,0,0,0,0
137,"mystic knight with deer antlers on their head, character design concept art, rendered in octane",1,1,0,0,0,0,0,0,0,0,0
138,a magician's assistant,1,0,0,0,0,0,0,0,0,0,0
139,"portrait of a female crow tengu journalist and short black hair and red tokin hat, wearing a white shirt and a black and autumn leaf patterned skirt, character design by jakub rozalski, george doutsiopoulos, and toni infante",1,1,0,0,0,1,0,0,0,0,1
140,"full body portrait of a female humanoid alien, symmetrical, hyperrealism, by h r giger, beksinski, artgerm, trending on artstation",1,1,0,0,0,0,0,1,0,0,0
141,bimbo bodybuilder barby lifesize surprise,1,0,0,0,0,0,1,0,0,0,0
142,gouraud shaded character model,1,1,0,0,0,0,0,0,0,0,0
143,ultra futuristic | bar with drinks and cocktails and bartender | generative procedural coral structure | interior wide shot | blade  runner | ridley scott | mist | volumetric lighting | dramatic lighting | --aspect 9:19,1,1,0,1,1,0,1,1,0,0,0
144,parrot by francoise basset,1,1,0,0,0,0,0,0,0,0,0
145,parrot by artwork by francoise basset,1,1,0,0,0,0,0,0,0,0,0
146,an optimistic full color hd poster of happy uncle sam laying out a cornucopia of red white and blue pills,1,1,1,0,0,1,0,1,0,0,1
147,an organic and detailed design for a cryonics preservation chamber,1,1,0,0,0,0,0,0,0,0,1
148,"Ultra realistic photo, princess peach in the mushroom kingdom, beautiful face, intricate, highly detailed, smooth, sharp focus, art by artgerm and greg rutkowski and alphonse mucha",1,1,0,0,1,0,1,0,0,0,0
149,"A Photograph of Cumulus Clouds emerging from a teacup, photo booth, skylight, soft shadows, depth of field, canon, f 1.8, 35mm",1,1,0,1,0,0,1,0,0,0,0
150,"beautiful rapunzel, wedding dress, beautiful face, intricate, highly detailed, 8k, textured, sharp focus, art by artgerm and greg rutkowski and alphonse mucha`",1,1,1,0,0,0,1,0,0,0,0
151,"night, the ocean, the milk way galaxy. highly detailed painting by gaston bussiere, greg Rutkowski, 8K",1,1,1,0,0,0,1,0,0,0,0
152,"adorable spacer woman, with Symmetric features, curly(changed to taste through gens) hair with realistic proportions, wearing rugged and torn workers clothes, award winning portrait, digital art, Dramatic cinematic, soft focus, depth of field, by artgerm and ross tran",1,1,0,0,0,0,1,1,0,0,0
153,"the river of time glowing in the dark, beautiful artwork, trending on artstation, high resolution, ultra detailed, 8k, super realistic, intricate, unreal engine render, fantasy art",1,1,0,1,0,0,1,0,0,0,0
154,Computer repair. Woman building a dieselpunk computer. Glowing screens. Huge dieselpunk computer. Dark. Shadow. Light bloom. Cinematic. Dramatic. By Greg Rutkowski,1,1,1,1,0,0,1,0,1,0,0
155,"Blonde-haired beautiful Warrior Queen, in fantasy armor, with Iron crown, cross symbolism, with a fit body, dark forest background, hopeful light, photorealistic, painted by artgerm, Akihiko yoshida, sakimichan, krenz cushart, low angle shot, digital painting",1,1,1,0,1,0,0,1,0,0,0
156,"Neil Blevins, Lee Madgwick intricate colorful steampunk city levitating above a large ocean by Cyril Rolando, Monolithic Art, Massive Complex levitating steampunk city with castles, Gravitational Anomaly, vibrantcolors, digital, Detailed Surrealism, awardwinning",1,1,0,0,1,1,1,0,1,0,0
157,"A Photo of Astronomers studying the night sky with a telescope inside Observatory, dim volumentric lighting, 8k, post-processing, soft painting, concept art, artstation, by tom bagshaw and daniel gerhartz and albert aublet and lawrence alma-tadema and alphonse mucha",1,1,0,1,1,0,1,0,0,0,0
158,"The Highland Cow is a beautiful animal, nature photography, Hasselblad, sharp focus, low angle, landscape photography by Max Rive",1,1,0,0,0,0,1,1,0,0,0
159,"X-Wing over Manhattan. 8k, concept art, trending on artstation, atmospheric lighting, fantasy, detailed, award winning, high quality",1,1,0,1,0,0,1,0,0,0,0
160,"A Dark, Spooky and gloomy Haunted kitchen with lot of dried fruits and dried vegetables , cinematic lighting, artistic, horrific, Intricate details, ultra real, apocalyptic setting, ethereal world",1,1,1,1,1,0,1,0,0,0,0
161,"Mars landscape futurstic city, elegant atmosphere, glowing lights, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by wlop, mars ravelo and greg rutkowski",0,1,1,0,1,0,1,0,0,0,0
162,"a beach full of trash and dead animals, whales, fish, dark atmosphere, waves, water, trending on artstation, greg rutkowski, highly detailed",1,1,0,0,1,0,1,0,0,0,1
163,Photograph. Mordor photo. Manhattan photo. Barad Dur. Dark cinematic lighting. God rays. Light bloom. Shadow. Fear. Cursed. Greg Rutkowski. Award winning. 8K. High resolution. Apocalyptic.,1,1,1,1,0,0,1,0,0,0,0
164,"sleeping cute baby turtle, under the sea, realistic lighting, blur, 8K, high detail, high resolution",1,0,1,1,1,0,1,0,0,0,0
165,"painting of a vast gothic library, intricate!, expansive!!, monks, stacks of books, candle light, stair cases, highly detailed!!, fantasy, 4K, by artgerm, Greg Rutkowski, Alphonse Mucha",1,1,0,1,0,0,1,0,0,0,0
166,"jama jurabaev trending on artstation, Tomas Osang Muir trending on artstation, cel shaded, cinematic shot, trending on artstation, high quality, brush stroke, vibrant colors, detailed, 8k resolution, realisitc ligthing, a beautiful comfortable survival shelter made out of a container home with an attached garden and a small tent extension on the side, exterior walls are made of transparent material allowing light to pass through, Yosemite national park green meadows with beautiful big redwood trees on the edge, Mountains in the background and a creek running calmly through the meadow, Blue hour and a visible milkyway in the sky",1,1,1,1,1,1,1,0,1,0,1
167,"Priests gathering at aztec pyramid in jungle by ludwig deutsch and rudolf ernst,?strong dramatic cinematic lighting,?lost civilizations,?smooth,?sharp focus,?extremely detailed",1,1,0,1,1,0,1,0,0,0,0
168,"Arab man light beard,?curly hair,?swordsman,?modern,?hero,?leather,?yellow and charcoal,?character concept art,?costume design,?trending on artstation,?artgerm,?wlop",1,1,0,0,0,1,0,0,0,0,0
169,"Portrait of beautiful angel,?d & d,?face,?fantasy,?intricate,?elegant,?highly detailed,?digital painting,?artstation,?concept art,?smooth,?sharp focus,?illustration,?art by artgerm and greg rutkowski and alphonse mucha",1,1,1,0,0,0,1,1,0,0,0
170,"Cabela's beautiful comfortable modular insulated wall kit - house all weather family dwelling tent house,?person in foreground,?mountainous forested wilderness open fields,?beautiful views,?painterly concept art,?joanna gaines,?environmental concept art,?farmhouse,?magnolia,?concept art illustration,?by james gurney,?by craig mullins,?by greg rutkowski trending on artstation",1,1,1,0,1,0,0,1,0,0,0
171,"A mountain in the shape of wolf dental arch,?terrifying,?environment art,?fantasy art,?landscape art,?in the style of greg rutkowski,?illustration,?epic,?fantasy,?intricate,?hyper detailed,?artstation,?concept art,?smooth,?sharp focus,?ray tracing",1,1,1,0,0,0,1,0,0,0,0
